title,score
Delectus pariatur basium earum velociter ambitus nihil corpus adfectus.,1.0
Templum inventore eum subvenio aranea clibanus cruentus.,1.0
Adeptio cribro capto.,1.0
At claudeo ademptio speciosus vesica alioqui.,1.0
Arbustum facilis templum vinum dicta creber veritatis adsuesco validus vigor.,0.0
Nisi dolorum tametsi tamdiu corpus tempora valetudo.,0.0
Truculenter desino amplus tersus impedit xiphias atrocitas suggero.,0.0
Ascisco libero antiquus.,0.0
Ciminatio quia id ut vel depraedor truculenter traho canto cunae.,0.0
Attollo arca decimus adsidue caelestis approbo tam alioqui centum coruscus.,0.0
