title,score
Valeo arguo temeritas.,100.0
Curatio sed solio utique voluptate adsidue thermae acceptus.,100.0
Alo commodo placeat vitium.,100.0
Copiose utilis tricesimus turbo comis certus patior capillus terga.,100.0
Curiositas vita aeneus cunabula ut ascisco.,100.0
Vere aufero ad subseco alii aspernatur curto bos denego cado.,99.0
Utor similique una suppono adaugeo consuasor nemo solvo non xiphias.,99.0
Titulus tremo depraedor quod.,98.0
Valde tum appositus clam admoveo rem depraedor spiritus strenuus coniecto.,98.0
Uter tener libero arbustum temeritas ullam adficio cunctatio cotidie.,98.0
