_id,employeeId,learningMaterialTitle,description,rating,createdAt,__v
6703af93d312dda4ba75ffcb,106,Despecto necessitatibus aurum summisse labore volva.,Sto deleniti quos teneo tracto adicio. Turpis demergo bos bibo subnecto facere debitis terminatio charisma. Comminor aeger adopto odio subito.,4,2024-10-07T09:53:23.030Z,0
6703af93d312dda4ba75ffcd,24,Tener odio cubicularis argentum aperio.,Ascisco audeo admoveo surculus. Cupressus illum tutamen timidus quas. Abutor antea civitas delectus magni corona.,5,2024-10-07T09:53:23.058Z,0
6703af93d312dda4ba75ffcf,115,Cruentus sol spectaculum.,Statim conturbo vita fugiat cumque. Stabilis placeat tricesimus campana appono. Caries adversus appello curia decerno ultra.,5,2024-10-07T09:53:23.081Z,0
6703af93d312dda4ba75ffd1,32,Adipiscor sunt crebro acsi decens quam excepturi.,Desidero testimonium neque carcer cohors. Acies velum uter numquam termes error tersus abscido vilis depraedor. Ante utilis crur aliquam officia.,3,2024-10-07T09:53:23.105Z,0
6703af93d312dda4ba75ffd3,203,Anser urbanus decet ter ubi vomito decretum voluptates.,Charisma velum calamitas tergeo caelum. Voluntarius caste artificiose. Dolor curto ceno.,3,2024-10-07T09:53:23.128Z,0
6703af93d312dda4ba75ffd5,33,Absconditus viridis adduco carpo credo victoria turba.,Quaerat textor cognomen aspernatur. Tabgo vespillo cervus curis vergo cogito cubo. Textus sortitus cur vita turpis asperiores circumvenio laudantium.,4,2024-10-07T09:53:23.151Z,0
6703af93d312dda4ba75ffd7,93,Asper atrocitas succurro.,Quasi theologus atrocitas clam. Optio aqua titulus capitulus tepidus. Capitulus super occaecati ipsa abeo fugit.,1,2024-10-07T09:53:23.175Z,0
6703af93d312dda4ba75ffd9,147,Templum appono surculus illo conservo.,Synagoga vacuus sordeo virtus combibo colo vesper clamo crapula. Rem desidero aqua vallum sint titulus contra stabilis. Solvo contra sublime sed casus accendo.,2,2024-10-07T09:53:23.200Z,0
6703af93d312dda4ba75ffdb,153,Tam repellat aegrus absque calco doloribus similique approbo corrumpo voluntarius.,Adhaero possimus beatae confido umbra utique trans sapiente atrox amplus. Sunt vito sortitus crepusculum tristis deorsum vulticulus. Ver acies derideo accedo voluntarius.,4,2024-10-07T09:53:23.225Z,0
6703af93d312dda4ba75ffdd,205,Sub at ad aliquid ubi.,Solutio comminor vinum tero ipsam vere. Celebrer temeritas eum consuasor bonus solus ara avarus. Tener minus vae perspiciatis volutabrum omnis.,2,2024-10-07T09:53:23.251Z,0
