learningMaterialTitle,average_rating,feedback_count
A sortitus sit caritas.,3.5,2
Ab aedificium stipes.,2.0,1
Ab spiritus coniecto uter paens callide sopor magni pax.,4.0,1
Abduco quia spiritus comedo corpus.,4.0,1
Abeo adiuvo administratio tardus corporis ullam occaecati articulus.,2.3333333333333335,3
Abeo harum correptius defero tantillus velut.,2.0,1
Abeo teres vestrum adsum eos cruentus temptatio volaticus auxilium.,3.0,1
Abeo vindico strues trucido admoneo amiculum.,3.3333333333333335,3
Abeo vulariter tunc ambitus cometes temeritas sperno vilis.,3.5,2
Absconditus viridis adduco carpo credo victoria turba.,4.333333333333333,3
Accendo decumbo colo allatus.,3.0,1
Accusantium succedo ipsum velociter demergo aperiam viduo comptus adfero deputo.,2.0,1
Acquiro claustrum bellicus vel cruciamentum subvenio temporibus accusantium.,4.0,1
Acsi adipiscor antepono.,1.0,1
Adaugeo placeat canis.,4.0,2
Addo confido uterque temeritas eveniet arx caput despecto.,2.0,2
Adduco acsi ut aequus defendo adopto artificiose bis sono viridis.,4.0,1
Adfectus degenero cohaero bene vulticulus coniecto.,1.5,2
Adfero constans tero apparatus.,3.0,1
Adhaero sto aufero.,5.0,1
Adhaero tametsi theatrum conturbo victus vito nam cotidie aggredior.,3.0,2
Adicio usque cultellus allatus cras tres labore dolorum spiculum voluntarius.,2.0,1
Adinventitias desparatus thymbra verecundia.,3.0,2
Adipiscor sunt crebro acsi decens quam excepturi.,3.0,2
Adiuvo comptus animus ustulo conculco amicitia ago vester.,4.0,1
Adnuo deduco autus talus aperte corrigo delinquo vestrum infit.,1.0,1
Adopto ver aurum volo cenaculum adinventitias debeo hic vester sint.,5.0,1
Adulatio a coaegresco conventus pectus aut.,2.6666666666666665,3
Adulatio asper vobis addo ter vulgivagus.,4.0,1
Adversus vindico valetudo tricesimus omnis compello alius.,2.0,1
Advoco voco tergeo ter maiores.,4.0,1
Aedificium apto corroboro video acquiro aeger nesciunt depulso soleo.,2.0,1
Aedificium thema carpo.,3.0,1
Aegrotatio sufficio conforto cunabula supra.,4.0,1
Aer deripio sufficio venustas barba.,3.0,1
Aetas facere magnam universe aeneus.,4.0,1
Aeternus ultio aetas terminatio.,1.0,2
Agnitio tergo quaerat suasoria abstergo.,3.0,1
Ago caterva tamisium valde ara thorax somnus.,4.0,3
Ago fuga venustas canto id.,3.3333333333333335,3
Aiunt caput saepe cauda.,2.5,2
Aiunt occaecati tibi.,4.333333333333333,3
Alias pax tener coruscus vita cuppedia arma tempore suggero.,2.0,2
Alias tabgo pecto desparatus caelum stipes auditor cuius.,1.0,1
Alias voveo creo itaque sustineo verus uberrime aranea.,4.0,1
Alienus acsi tepidus custodia trado illo.,2.0,1
Alii carmen comprehendo alveus esse apparatus coaegresco.,3.0,2
Alii debilito delectatio patruus perspiciatis aequus cupressus.,3.0,2
Alii dolorem attonbitus desparatus abeo quos cerno canto templum thymum.,3.6666666666666665,3
Alii varietas creber admiratio aegrotatio aiunt aro defluo bis terra.,2.3333333333333335,3
Aliquid defaeco delego earum demoror.,2.0,1
Aliquid iusto mollitia voluntarius amiculum.,4.0,1
Allatus colo modi.,5.0,1
Alveus quas blanditiis attero coadunatio.,1.0,1
Amaritudo tristis suus xiphias comedo cura.,2.5,2
Ambulo caelum validus decumbo abundans decor.,3.0,2
Amicitia deleo abduco votum cohaero turba.,4.0,1
Amicitia vilis degero.,4.0,1
Amita balbus nam asperiores coniuratio at depopulo curo crur.,2.0,1
Amita utique ante.,2.6666666666666665,3
Amitto tamisium approbo umerus tricesimus.,1.0,1
Amo bellum beneficium absorbeo corrupti architecto.,2.0,1
Amo conduco defleo tenuis arbor sophismata.,3.0,1
Amor aduro toties provident bestia utique arbustum curtus.,5.0,1
Amplexus vero surgo.,1.0,1
Amplitudo sit coadunatio tabula arbor solio callide tergeo complectus.,2.0,3
Ancilla cedo capitulus.,5.0,1
Ancilla commemoro speciosus arca vulgivagus.,2.3333333333333335,3
Ancilla voco creator benigne accendo balbus demergo.,4.0,4
Angelus ab velit sodalitas.,2.0,1
Animi sui conduco autem eius viscus damnatio abstergo tres.,1.0,1
Animus spiritus talus appositus vapulus celer debeo caritas aperiam.,3.0,1
Anser urbanus decet ter ubi vomito decretum voluptates.,2.0,2
Antea iure sopor cuppedia alius cetera canonicus.,2.5,2
Antepono tenax conicio maiores tamdiu venio curis ver ocer decens.,2.0,1
Aperiam amita aptus uterque copia vox tunc deputo acidus vesco.,2.0,1
Aperiam versus saepe vado beatae.,2.5,2
Aperte expedita aufero stillicidium voluptatum quod strues conventus acerbitas concido.,2.0,2
Apparatus beneficium adstringo caterva conicio vindico nostrum.,2.0,2
Apparatus cito pel.,2.6666666666666665,3
Appello excepturi tondeo turbo quidem adinventitias abscido cariosus facilis traho.,3.0,1
Approbo cresco ut aggero damno.,4.0,2
Apud deludo volo.,2.0,1
Aqua textilis aetas dolore vulnero denego summa.,2.0,1
Arca tener eos crinis una.,1.0,1
Arceo aperte barba tabesco.,4.0,1
Arcesso vulnero suggero calco.,5.0,1
Argentum thymbra antea creber crudelis talio.,4.0,1
Argentum tripudio tres.,3.5,2
Ars pecus assumenda carmen approbo.,4.0,2
Ars valde curriculum aetas.,1.0,1
Arx corrigo venia accusator consequuntur bestia.,4.0,1
Ascit traho atrox caveo desipio.,5.0,1
Asper atrocitas succurro.,2.25,4
Asper cimentarius paens tumultus alius contra.,4.0,1
Asper supplanto auditor corporis deputo civitas clibanus aequus balbus.,3.0,2
Asperiores combibo necessitatibus cibus aurum.,4.5,2
Aspernatur tot summa curia cinis approbo culpa convoco possimus maxime.,2.0,2
Aspicio accusamus adfectus.,2.5,2
Assentator molestiae dens vulnero voluptates arto alienus timidus auxilium canto.,5.0,1
Assentator suppono caritas laboriosam compello.,4.0,1
Assumenda conscendo earum.,3.0,2
Astrum tardus comburo solium antiquus aro cado.,4.0,1
Atqui casso sum cogo.,2.0,2
Atqui deludo comptus stipes consuasor adaugeo.,2.0,2
Atqui iure ascit approbo urbs.,4.0,1
Audax praesentium tabgo conicio baiulus via umerus pectus delectus taceo.,1.6666666666666667,3
Audentia sperno usus terga cunae spoliatio.,3.0,2
Audio ver vulgivagus vis celer congregatio corona.,3.5,2
Aufero conculco tredecim via.,1.0,2
Aufero virga summisse denique cotidie balbus.,5.0,1
Aureus architecto urbs ventus solium timor neque defungo vomer.,3.0,2
Aureus vindico cometes calco arto absque victus usque explicabo.,1.0,1
Aurum venia recusandae confugo coniecto viduo conculco.,3.3333333333333335,3
Aveho aggero curatio sperno at amita aegre tergo.,4.0,1
Aveho carbo brevis substantia urbs.,3.0,1
Averto amoveo apto tabella desparatus sumo trucido harum cupressus cicuta.,4.0,2
Balbus tabgo tumultus vilis demoror cupiditate absum viscus.,1.0,1
Basium ago debilito excepturi audacia cupiditate valetudo.,3.0,1
Beatae maxime venia adflicto sublime.,1.0,1
Beatus vicinus supplanto contra cultellus vorago confero officia thesis antea.,3.75,4
Bellum creptio temporibus quod bonus.,2.0,1
Bellum creta viscus advoco tredecim aqua enim.,3.0,2
Benevolentia vitium arca.,1.0,1
Benigne denuncio voluntarius cervus.,5.0,1
Bis audax tero ratione depraedor corpus laboriosam.,2.0,2
Blandior anser debitis confugo nam culpa nesciunt toties.,3.0,1
Bos bestia vir acquiro celer bellicus demoror.,2.0,1
Bos cicuta caterva terminatio depromo autem amet circumvenio carmen.,1.0,1
Caecus deleniti allatus.,4.0,1
Caelum caput cumque antea stabilis celo animus amor barba.,3.0,4
