learningMaterialTitle,average_rating
Vulnus tandem assumenda solvo delego dolor accedo.,1.0
Adnuo deduco autus talus aperte corrigo delinquo vestrum infit.,1.0
Vigilo vel aurum depopulo.,1.0
Alias tabgo pecto desparatus caelum stipes auditor cuius.,1.0
Aeternus ultio aetas terminatio.,1.0
Tripudio cattus appello defetiscor vito.,1.0
Animi sui conduco autem eius viscus damnatio abstergo tres.,1.0
Theatrum deludo pariatur fugiat voluntarius verto valens casso.,1.0
Tunc aestivus deduco templum absum cubitum libero cupiditas cito.,1.0
Totus tyrannus veritas cattus utor exercitationem carpo.,1.0
